n,m,batch_size,solved,max_err,mean_err,gpu_time,cpu_time
10,1,8600,8600,2.2272388378041796e-09,1.9304181270619006e-12,0.001934051513671875,0.9246745109558105
10,1,8700,8700,1.5625118976458907e-09,1.2762554870498361e-12,0.0019390583038330078,0.9349360466003418
10,1,8800,8800,1.1430074664531276e-09,1.420097240556566e-12,0.0019354820251464844,0.9355969429016113
10,1,8900,8900,1.1409611033741385e-09,1.3719197496059623e-12,0.001935720443725586,0.9489603042602539
10,1,9000,9000,1.6366357158403844e-09,1.1826759538957905e-12,0.0019659996032714844,0.9583659172058105
10,1,9100,9100,1.5973000699887052e-09,1.3631939287622002e-12,0.0020346641540527344,0.9704277515411377
10,1,9200,9200,2.0088464225409552e-09,1.4053171833813885e-12,0.0019464492797851562,0.982123851776123
10,1,9300,9300,1.7827801457315218e-09,1.4895166381203953e-12,0.002004861831665039,0.9943463802337646
10,1,9400,9400,1.934182591867284e-09,1.514519422047904e-12,0.002184629440307617,1.0024619102478027
10,1,9500,9500,1.5511432138737291e-09,1.3306858658704687e-12,0.002201557159423828,1.0181050300598145
10,1,9600,9600,1.3295817780090147e-09,1.570198815733083e-12,0.0023839473724365234,1.0255486965179443
10,1,9700,9700,2.4948576538008638e-09,1.9110107459397775e-12,0.002176523208618164,1.041003704071045
10,1,9800,9800,1.2077521205355879e-09,1.4401402728228876e-12,0.0021715164184570312,1.0495269298553467
10,1,9900,9900,1.12277120933868e-09,1.2410024614439453e-12,0.0021970272064208984,1.0589659214019775
